subdivisionCode,subdivisionName,subdivisionType
SL-E,Eastern,Province
SL-N,Northern,Province
SL-NW,North Western,Province
SL-S,Southern,Province
SL-W,Western Area (Freetown),Area
SN-DB,Diourbel,Region
SN-DK,Dakar,Region
SN-FK,Fatick,Region
SN-KA,Kaffrine,Region
SN-KD,Kolda,Region
SN-KE,Kédougou,Region
SN-KL,Kaolack,Region
SN-LG,Louga,Region
SN-MT,Matam,Region
SN-SE,Sédhiou,Region
SN-SL,Saint-Louis,Region
SN-TC,Tambacounda,Region
SN-TH,Thiès,Region
SN-ZG,Ziguinchor,Region
SO-AW,Awdal,Region
SO-SA,Sanaag,Region
SO-SO,Sool,Region
SO-TO,Togdheer,Region
SO-WO,Woqooyi Galbeed,Region
SR-BR,Brokopondo,District
SR-CM,Commewijne,District
SR-CR,Coronie,District
SR-MA,Marowijne,District
SR-NI,Nickerie,District
SR-PM,Paramaribo,District
SR-PR,Para,District
SR-SA,Saramacca,District
SR-SI,Sipaliwini,District
SR-WA,Wanica,District
ST-03,Caué,District
ST-04,Lembá,District
SY-DI,Dimashq,Province
SY-DR,Dar'ā,Province
SY-DY,Dayr az Zawr,Province
SY-HA,Al Ḩasakah,Province
SY-HI,Ḩimş,Province
SY-HL,Ḩalab,Province
SY-HM,Ḩamāh,Province
SY-ID,Idlib,Province
SY-LA,Al Lādhiqīyah,Province
SY-QU,Al Qunayţirah,Province
SY-RA,Ar Raqqah,Province
SY-RD,Rīf Dimashq,Province
SY-SU,As Suwaydā',Province
SY-TA,Ţarţūs,Province
SZ-HH,Hhohho,Region
SZ-LU,Lubombo,Region
SZ-MA,Manzini,Region
SZ-SH,Shiselweni,Region
TD-BA,Batha,Province
TD-BG,Bahr el Ghazal,Province
TD-BO,Borkou,Province
TD-CB,Chari-Baguirmi,Province
TD-EE,Ennedi-Est,Province
TD-EO,Ennedi-Ouest,Province
TD-GR,Guéra,Province
TD-HL,Hadjer Lamis,Province
TD-KA,Kanem,Province
TD-LC,Lac,Province
TD-LO,Logone-Occidental,Province
TD-LR,Logone-Oriental,Province
TD-MA,Mandoul,Province
TD-MC,Moyen-Chari,Province
TD-ME,Mayo-Kebbi-Est,Province
TD-MO,Mayo-Kebbi-Ouest,Province
TD-ND,Ville de Ndjamena,Province
TD-OD,Ouaddaï,Province
TD-SA,Salamat,Province
TD-SI,Sila,Province
TD-TA,Tandjilé,Province
TD-TI,Tibesti,Province
TD-WF,Wadi Fira,Province
TG-C,Centrale,Region
TG-K,Kara,Region
TG-M,Maritime (Région),Region
TG-P,Plateaux,Region
TG-S,Savanes,Region
TJ-DU,Dushanbe,Capital territory
TJ-GB,Kŭhistoni Badakhshon,Autonomous region
TJ-KT,Khatlon,Region
TJ-RA,nohiyahoi tobei jumhurí,Districts under republic administration
TJ-SU,Sughd,Region
TL-AL,Aileu,Municipality
TL-AN,Ainaro,Municipality
TL-BA,Baucau,Municipality
TL-BO,Bobonaro,Municipality
TL-CO,Cova Lima,Municipality
TL-DI,Díli,Municipality
TL-ER,Ermera,Municipality
TL-LA,Lautém,Municipality
TL-LI,Liquiça,Municipality
TL-MF,Manufahi,Municipality
TL-MT,Manatuto,Municipality
TL-OE,Oé-Cusse Ambeno,Special administrative region
TL-VI,Viqueque,Municipality
TM-A,Ahal,Region
TM-B,Balkan,Region
TM-D,Daşoguz,Region
TM-L,Lebap,Region
TM-M,Mary,Region
TM-S,Aşgabat,City
TN-11,Tunis,Governorate
TN-12,L'Ariana,Governorate
TN-13,Ben Arous,Governorate
TN-14,La Manouba,Governorate
TN-21,Nabeul,Governorate
TN-22,Zaghouan,Governorate
TN-23,Bizerte,Governorate
TN-31,Béja,Governorate
TN-32,Jendouba,Governorate
TN-33,Le Kef,Governorate
TN-34,Siliana,Governorate
TN-41,Kairouan,Governorate
TN-42,Kasserine,Governorate
TN-43,Sidi Bouzid,Governorate
TN-51,Sousse,Governorate
TN-52,Monastir,Governorate
TN-53,Mahdia,Governorate
TN-61,Sfax,Governorate
TN-71,Gafsa,Governorate
TN-72,Tozeur,Governorate
TN-73,Kébili,Governorate
TN-81,Gabès,Governorate
TN-82,Médenine,Governorate
TN-83,Tataouine,Governorate
TO-01,'Eua,Division
TO-02,Ha'apai,Division
TO-03,Niuas,Division
TO-04,Tongatapu,Division
TO-05,Vava'u,Division
TR-01,Adana,Province
TR-02,Adıyaman,Province
TR-03,Afyonkarahisar,Province
TR-04,Ağrı,Province
TR-05,Amasya,Province
TR-06,Ankara,Province
TR-07,Antalya,Province
TR-08,Artvin,Province
TR-09,Aydın,Province
TR-10,Balıkesir,Province
TR-11,Bilecik,Province
TR-12,Bingöl,Province
TR-13,Bitlis,Province
TR-14,Bolu,Province
TR-15,Burdur,Province
TR-16,Bursa,Province
TR-17,Çanakkale,Province
TR-18,Çankırı,Province
TR-19,Çorum,Province
TR-20,Denizli,Province
TR-21,Diyarbakır,Province
TR-22,Edirne,Province
TR-23,Elazığ,Province
TR-24,Erzincan,Province
TR-25,Erzurum,Province
TR-26,Eskişehir,Province
TR-27,Gaziantep,Province
TR-28,Giresun,Province
TR-29,Gümüşhane,Province
TR-30,Hakkâri,Province
TR-31,Hatay,Province
TR-32,Isparta,Province
TR-33,Mersin,Province
TR-34,İstanbul,Province
TR-35,İzmir,Province
TR-36,Kars,Province
TR-37,Kastamonu,Province
TR-38,Kayseri,Province
TR-39,Kırklareli,Province
TR-40,Kırşehir,Province
TR-41,Kocaeli,Province
TR-42,Konya,Province
TR-43,Kütahya,Province
TR-44,Malatya,Province
TR-45,Manisa,Province
TR-46,Kahramanmaraş,Province
TR-47,Mardin,Province
TR-48,Muğla,Province
TR-49,Muş,Province
TR-50,Nevşehir,Province
TR-51,Niğde,Province
TR-52,Ordu,Province
TR-53,Rize,Province
TR-54,Sakarya,Province
TR-55,Samsun,Province
TR-56,Siirt,Province
TR-57,Sinop,Province
TR-58,Sivas,Province
TR-59,Tekirdağ,Province
TR-60,Tokat,Province
TR-61,Trabzon,Province
TR-62,Tunceli,Province
TR-63,Şanlıurfa,Province
TR-64,Uşak,Province
TR-65,Van,Province
TR-66,Yozgat,Province
TR-67,Zonguldak,Province
TR-68,Aksaray,Province
TR-69,Bayburt,Province
TR-70,Karaman,Province
TR-71,Kırıkkale,Province
TR-72,Batman,Province
TR-73,Şırnak,Province
TR-74,Bartın,Province
TR-75,Ardahan,Province
TR-76,Iğdır,Province
TR-77,Yalova,Province
TR-78,Karabük,Province
TR-79,Kilis,Province
TR-80,Osmaniye,Province
TR-81,Düzce,Province
TV-FUN,Funafuti,Town council
TV-NIT,Niutao,Island council
TV-NKF,Nukufetau,Island council
TV-NKL,Nukulaelae,Island council
TV-NMA,Nanumea,Island council
TV-NMG,Nanumaga,Island council
TV-NUI,Nui,Island council
TV-VAI,Vaitupu,Island council
TZ-01,Arusha,Region
TZ-02,Dar es Salaam,Region
TZ-03,Dodoma,Region
TZ-04,Iringa,Region
TZ-05,Kagera,Region
TZ-06,Pemba North,Region
TZ-07,Zanzibar North,Region
TZ-08,Kigoma,Region
TZ-09,Kilimanjaro,Region
TZ-10,Pemba South,Region
TZ-11,Zanzibar South,Region
TZ-12,Lindi,Region
TZ-13,Mara,Region
TZ-14,Mbeya,Region
TZ-15,Zanzibar West,Region
TZ-16,Morogoro,Region
TZ-17,Mtwara,Region
TZ-18,Mwanza,Region
TZ-19,Coast,Region
TZ-20,Rukwa,Region
TZ-21,Ruvuma,Region
TZ-22,Shinyanga,Region
TZ-23,Singida,Region
TZ-24,Tabora,Region
TZ-25,Tanga,Region
TZ-26,Manyara,Region
TZ-27,Geita,Region
TZ-28,Katavi,Region
TZ-29,Njombe,Region
TZ-30,Simiyu,Region
TZ-31,Songwe,Region
UG-101,Kalangala,District
UG-102,Kampala,City
UG-103,Kiboga,District
UG-104,Luwero,District
UG-105,Masaka,District
UG-106,Mpigi,District
UG-107,Mubende,District
UG-108,Mukono,District
UG-109,Nakasongola,District
UG-110,Rakai,District
UG-111,Sembabule,District
UG-112,Kayunga,District
UG-113,Wakiso,District
UG-114,Lyantonde,District
UG-115,Mityana,District
UG-116,Nakaseke,District
UG-117,Buikwe,District
UG-118,Bukomansibi,District
UG-119,Butambala,District
UG-120,Buvuma,District
UG-121,Gomba,District
UG-122,Kalungu,District
UG-123,Kyankwanzi,District
UG-124,Lwengo,District
UG-125,Kyotera,District
UG-126,Kasanda,District
UG-201,Bugiri,District
UG-202,Busia,District
UG-203,Iganga,District
UG-204,Jinja,District
UG-205,Kamuli,District
UG-206,Kapchorwa,District
UG-207,Katakwi,District
UG-208,Kumi,District
UG-209,Mbale,District
UG-210,Pallisa,District
UG-211,Soroti,District
UG-212,Tororo,District
UG-213,Kaberamaido,District
UG-214,Mayuge,District
UG-215,Sironko,District
UG-216,Amuria,District
UG-217,Budaka,District
UG-218,Bududa,District
UG-219,Bukedea,District
UG-220,Bukwo,District
UG-221,Butaleja,District
UG-222,Kaliro,District
UG-223,Manafwa,District
UG-224,Namutumba,District
UG-225,Bulambuli,District
UG-226,Buyende,District
UG-227,Kibuku,District
UG-228,Kween,District
UG-229,Luuka,District
UG-230,Namayingo,District
UG-231,Ngora,District
UG-232,Serere,District
UG-233,Butebo,District
UG-234,Namisindwa,District
UG-235,Bugweri,District
UG-236,Kapelebyong,District
UG-237,Kalaki,District
UG-301,Adjumani,District
UG-302,Apac,District
UG-303,Arua,District
UG-304,Gulu,District
UG-305,Kitgum,District
UG-306,Kotido,District
UG-307,Lira,District
UG-308,Moroto,District
UG-309,Moyo,District
UG-310,Nebbi,District
UG-311,Nakapiripirit,District
UG-312,Pader,District
UG-313,Yumbe,District
UG-314,Abim,District
UG-315,Amolatar,District
UG-316,Amuru,District
UG-317,Dokolo,District
UG-318,Kaabong,District
UG-319,Koboko,District
UG-320,Maracha,District
UG-321,Oyam,District
UG-322,Agago,District
UG-323,Alebtong,District
UG-324,Amudat,District
UG-325,Kole,District
UG-326,Lamwo,District
UG-327,Napak,District
UG-328,Nwoya,District
UG-329,Otuke,District
UG-330,Zombo,District
UG-331,Omoro,District
UG-332,Pakwach,District
UG-333,Kwania,District
UG-334,Nabilatuk,District
UG-335,Karenga,District
UG-336,Madi-Okollo,District
UG-337,Obongi,District
UG-401,Bundibugyo,District
UG-402,Bushenyi,District
UG-403,Hoima,District
UG-404,Kabale,District
UG-405,Kabarole,District
UG-406,Kasese,District
UG-407,Kibaale,District
UG-408,Kisoro,District
UG-409,Masindi,District
UG-410,Mbarara,District
UG-411,Ntungamo,District
UG-412,Rukungiri,District
UG-413,Kamwenge,District
UG-414,Kanungu,District
UG-415,Kyenjojo,District
UG-416,Buliisa,District
UG-417,Ibanda,District
UG-418,Isingiro,District
UG-419,Kiruhura,District
UG-420,Buhweju,District
UG-421,Kiryandongo,District
UG-422,Kyegegwa,District
UG-423,Mitooma,District
UG-424,Ntoroko,District
UG-425,Rubirizi,District
UG-426,Sheema,District
UG-427,Kagadi,District
UG-428,Kakumiro,District
UG-429,Rubanda,District
UG-430,Bunyangabu,District
UG-431,Rukiga,District
UG-432,Kikuube,District
UG-433,Kazo,District
UG-434,Kitagwenda,District
UG-435,Rwampara,District
UG-C,Central,Geographical region
UG-E,Eastern,Geographical region
UG-N,Northern,Geographical region
UG-W,Western,Geographical region
UM-67,Johnston Atoll,"Islands, groups of islands"
UM-71,Midway Islands,"Islands, groups of islands"
UM-76,Navassa Island,"Islands, groups of islands"
UM-79,Wake Island,"Islands, groups of islands"
UM-81,Baker Island,"Islands, groups of islands"
UM-84,Howland Island,"Islands, groups of islands"
UM-86,Jarvis Island,"Islands, groups of islands"
UM-89,Kingman Reef,"Islands, groups of islands"
UM-95,Palmyra Atoll,"Islands, groups of islands"
UZ-AN,Andijon,Region
UZ-BU,Buxoro,Region
UZ-FA,Farg‘ona,Region
UZ-JI,Jizzax,Region
UZ-NG,Namangan,Region
UZ-NW,Navoiy,Region
UZ-QA,Qashqadaryo,Region
UZ-SA,Samarqand,Region
UZ-SI,Sirdaryo,Region
UZ-SU,Surxondaryo,Region
UZ-TO,Toshkent,Region
UZ-XO,Xorazm,Region
VC-01,Charlotte,Parish
VC-02,Saint Andrew,Parish
VC-03,Saint David,Parish
VC-04,Saint George,Parish
VC-05,Saint Patrick,Parish
VC-06,Grenadines,Parish
VN-01,Lai Châu,Province
VN-02,Lào Cai,Province
VN-03,Hà Giang,Province
VN-04,Cao Bằng,Province
VN-05,Sơn La,Province
VN-06,Yên Bái,Province
VN-07,Tuyên Quang,Province
VN-09,Lạng Sơn,Province
VN-13,Quảng Ninh,Province
VN-14,Hòa Bình,Province
VN-18,Ninh Bình,Province
VN-20,Thái Bình,Province
VN-21,Thanh Hóa,Province
VN-22,Nghệ An,Province
VN-23,Hà Tĩnh,Province
VN-24,Quảng Bình,Province
VN-25,Quảng Trị,Province
VN-26,Thừa Thiên-Huế,Province
VN-27,Quảng Nam,Province
VN-28,Kon Tum,Province
VN-29,Quảng Ngãi,Province
VN-30,Gia Lai,Province
VN-31,Bình Định,Province
VN-32,Phú Yên,Province
VN-33,Đắk Lắk,Province
VN-34,Khánh Hòa,Province
VN-35,Lâm Đồng,Province
VN-36,Ninh Thuận,Province
VN-37,Tây Ninh,Province
VN-39,Đồng Nai,Province
VN-40,Bình Thuận,Province
VN-41,Long An,Province
VN-43,Bà Rịa - Vũng Tàu,Province
VN-44,An Giang,Province
VN-45,Đồng Tháp,Province
VN-46,Tiền Giang,Province
VN-47,Kiến Giang,Province
VN-49,Vĩnh Long,Province
VN-50,Bến Tre,Province
VN-51,Trà Vinh,Province
VN-52,Sóc Trăng,Province
VN-53,Bắc Kạn,Province
VN-54,Bắc Giang,Province
VN-55,Bạc Liêu,Province
VN-56,Bắc Ninh,Province
VN-57,Bình Dương,Province
VN-58,Bình Phước,Province
VN-59,Cà Mau,Province
VN-61,Hải Dương,Province
VN-63,Hà Nam,Province
VN-66,Hưng Yên,Province
VN-67,Nam Định,Province
VN-68,Phú Thọ,Province
VN-69,Thái Nguyên,Province
VN-70,Vĩnh Phúc,Province
VN-71,Điện Biên,Province
VN-72,Đắk Nông,Province
VN-73,Hậu Giang,Province
VN-CT,Cần Thơ,Municipality
VN-DN,Đà Nẵng,Municipality
VN-HN,Hà Nội,Municipality
VN-HP,Hải Phòng,Municipality
VN-SG,Hồ Chí Minh,Municipality
WS-AA,A'ana,District
WS-AL,Aiga-i-le-Tai,District
WS-AT,Atua,District
WS-FA,Fa'asaleleaga,District
WS-GE,Gaga'emauga,District
WS-GI,Gagaifomauga,District
WS-PA,Palauli,District
WS-SA,Satupa'itea,District
WS-TU,Tuamasaga,District
WS-VF,Va'a-o-Fonoti,District
WS-VS,Vaisigano,District
YE-AB,Abyan,Governorate
YE-AD,‘Adan,Governorate
YE-AM,‘Amrān,Governorate
YE-BA,Al Bayḑā’,Governorate
YE-DA,Aḑ Ḑāli‘,Governorate
YE-DH,Dhamār,Governorate
YE-HD,Ḩaḑramawt,Governorate
YE-HJ,Ḩajjah,Governorate
YE-HU,Al Ḩudaydah,Governorate
YE-IB,Ibb,Governorate
YE-JA,Al Jawf,Governorate
YE-LA,Laḩij,Governorate
YE-MA,Ma’rib,Governorate
YE-MR,Al Mahrah,Governorate
YE-MW,Al Maḩwīt,Governorate
YE-RA,Raymah,Governorate
YE-SA,Amānat al ‘Āşimah [city],Municipality
YE-SD,Şāʻdah,Governorate
YE-SH,Shabwah,Governorate
YE-SN,Şanʻā’,Governorate
YE-SU,Arkhabīl Suquţrá,Governorate
YE-TA,Tāʻizz,Governorate
ZW-BU,Bulawayo,Province
ZW-HA,Harare,Province
ZW-MA,Manicaland,Province
ZW-MC,Mashonaland Central,Province
ZW-ME,Mashonaland East,Province
ZW-MI,Midlands,Province
ZW-MN,Matabeleland North,Province
ZW-MS,Matabeleland South,Province
ZW-MV,Masvingo,Province
ZW-MW,Mashonaland West,Province
